Date,Team,VegasLine
20151219,Grizzlies,200
20151219,Pacers,200
20151219,Knicks,195
20151219,Bulls,195
20151219,Rockets,212
20151219,Clippers,212
20151219,Thunder,208
20151219,Lakers,208
20151219,Wizards,206
20151219,Hornets,206
20151220,Cavaliers,197
20151220,Seventysixers,197
20151220,Heat,194
20151220,Trailblazers,194
20151220,Magic,201.5
20151220,Hawks,201.5
20151220,Nets,203
20151220,Timberwolves,203
20151220,Nuggets,205
20151220,Pelicans,205
20151220,Raptors,206
20151220,Kings,206
20151220,Suns,203.5
20151220,Bucks,203.5
20151221,Bulls,197.5
20151221,Nets,197.5
20151221,Celtics,208.5
20151221,Timberwolves,208.5
20151221,Clippers,207.5
20151221,Thunder,207.5
20151221,Hawks,204.5
20151221,Trailblazers,204.5
20151221,Jazz,199
20151221,Suns,199
20151221,Knicks,197
20151221,Magic,197
20151221,Rockets,208
20151221,Hornets,208
20151221,Spurs,198
20151221,Pacers,198
20151221,Wizards,216.5
20151221,Kings,216.5
20151222,Heat,195
20151222,Pistons,195
20151222,Nuggets,205
20151222,Lakers,205
20151222,Raptors,196
20151222,Mavericks,196
20151222,Seventysixers,194
20151222,Grizzlies,194
20151223,Bucks,196
20151223,Seventysixers,196
20151223,Cavaliers,195
20151223,Knicks,195
20151223,Hawks,202
20151223,Pistons,202
20151223,Hornets,203.5
20151223,Celtics,203.5
20151223,Lakers,207.5
20151223,Thunder,207.5
20151223,Magic,207
20151223,Rockets,207
20151223,Nets,199
20151223,Mavericks,199
20151223,Pacers,214
20151223,Kings,214
20151223,Pelicans,203.5
20151223,Trailblazers,203.5
20151223,Suns,208
20151223,Nuggets,208
20151223,Timberwolves,195.5
20151223,Spurs,195.5
20151223,Warriors,208.5
20151223,Jazz,208.5
20151223,Wizards,201
20151223,Grizzlies,201
20151225,Heat,199
20151225,Pelicans,199
20151225,Lakers,207
20151225,Clippers,207
20151225,Rockets,203.5
20151225,Spurs,203.5
20151225,Thunder,205
20151225,Bulls,205
20151225,Warriors,206.5
20151225,Cavaliers,206.5
20151226,Bucks,194
20151226,Raptors,194
20151226,Hawks,202.5
20151226,Knicks,202.5
20151226,Hornets,193.5
20151226,Grizzlies,193.5
20151226,Jazz,193.5
20151226,Clippers,193.5
20151226,Magic,192.5
20151226,Heat,192.5
20151226,Mavericks,200.5
20151226,Bulls,200.5
20151226,Nets,205.5
20151226,Wizards,205.5
20151226,Pelicans,210.5
20151226,Rockets,210.5
20151226,Pistons,204
20151226,Celtics,204
20151226,Spurs,194.5
20151226,Nuggets,194.5
20151226,Suns,205.5
20151226,Seventysixers,205.5
20151226,Timberwolves,206
20151226,Pacers,206
20151226,Trailblazers,195.5
20151226,Cavaliers,195.5
20151227,Celtics,202
20151227,Knicks,202
20151227,Grizzlies,197
20151227,Lakers,197
20151227,Kings,208
20151227,Trailblazers,208
20151227,Thunder,207
20151227,Nuggets,207
20151228,Bulls,197.5
20151228,Raptors,197.5
20151228,Heat,195.5
20151228,Nets,195.5
20151228,Hornets,202.5
20151228,Lakers,202.5
20151228,Jazz,196
20151228,Seventysixers,196
20151228,Magic,204.5
20151228,Pelicans,204.5
20151228,Mavericks,200.5
20151228,Bucks,200.5
20151228,Pacers,205
20151228,Hawks,205
20151228,Spurs,195.5
20151228,Timberwolves,195.5
20151228,Suns,199.5
20151228,Cavaliers,199.5
20151228,Warriors,221
20151228,Kings,221
20151228,Wizards,207
20151228,Clippers,207
20151229,Grizzlies,189.5
20151229,Heat,189.5
20151229,Knicks,199.5
20151229,Pistons,199.5
20151229,Nuggets,195.5
20151229,Cavaliers,195.5
20151229,Rockets,209
20151229,Hawks,209
20151229,Thunder,207
20151229,Bucks,207
20151230,Bulls,201.5
20151230,Pacers,201.5
20151230,Celtics,206
