team,points,op team,op points,home away,season,vegas line,o/u margin,vegas line total,assists,ats streak,attendance,biggest lead,blocks,conference west/east,defensive rebounds,fast break points,field goals attempted,field goal percentage,fouls,free throws made,free throw percentage,lead changes,losses,margin after the first,margin at the half,matchup losses,matchup wins,offensive rebounds,officials,ou streak,overtime,points in the paint,rest,site streak,steals,streak,team rebounds,three pointers made,time of game,turnovers,wins,win percentage,matchup,o/u,WL,o/u margin class,time zone__C,time zone__M,time zone__P,division__Atlantic,division__Central,division__Northwest,division__Pacific,division__Southeast,division__Southwest,day__Friday,day__Monday,day__Saturday,day__Sunday,day__Thursday,day__Tuesday,day__Wednesday
Celtics,119,Hawks,110,1,2017,-8.5,26.0,203.0,26.0,4,18624.0,19.0,3.0,0,35.0,16.0,89.0,50.56,23.0,18.0,90.0,4.0,15,-6.0,-2.0,0,2,7.0,"['Brian Forte', 'Jacyn Goble', 'Gediminas Petraitis']",-1,0.0,48.0,1.0,1,8.0,2,8.0,11.0,125.0,11.0,37,246.67,Celtics Hawks,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Hawks,110,Celtics,119,0,2017,8.5,26.0,203.0,21.0,-1,18624.0,9.0,4.0,0,32.0,7.0,80.0,42.5,18.0,31.0,91.18,4.0,36,6.0,2.0,2,0,4.0,"['Brian Forte', 'Jacyn Goble', 'Gediminas Petraitis']",1,0.0,34.0,1.0,3,6.0,-1,9.0,11.0,125.0,12.0,15,41.67,Hawks Celtics,1,-1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Hornets,133,Pacers,126,1,2017,-3.5,48.0,211.0,27.0,1,17135.0,18.0,2.0,0,32.0,4.0,83.0,53.01,21.0,30.0,88.24,1.0,29,12.0,14.0,1,0,11.0,"['Scott Foster', 'Mitchell Ervin', 'Michael Smith']",1,0.0,46.0,1.0,-3,5.0,1,8.0,15.0,138.0,15.0,21,72.41,Hornets Pacers,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Pacers,126,Hornets,133,0,2017,3.5,48.0,211.0,21.0,-1,17135.0,2.0,6.0,0,24.0,6.0,87.0,50.57,25.0,26.0,92.86,1.0,23,-12.0,-14.0,0,1,7.0,"['Scott Foster', 'Mitchell Ervin', 'Michael Smith']",1,0.0,48.0,1.0,3,10.0,3,6.0,12.0,138.0,11.0,29,126.09,Pacers Hornets,1,-1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Kings,104,Warriors,119,1,2017,13.5,0.5,222.5,22.0,1,16583.0,13.0,3.0,1,27.0,15.0,95.0,44.21,14.0,10.0,66.67,6.0,34,-2.0,-6.0,0,1,6.0,"['Zach Zarba', 'Bennie Adams', 'Aaron Smith']",2,0.0,56.0,2.0,-6,16.0,1,8.0,10.0,132.0,10.0,16,47.06,Kings Warriors,1,-1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Warriors,119,Kings,104,0,2017,-13.5,0.5,222.5,25.0,-2,16583.0,17.0,4.0,1,44.0,17.0,80.0,55.0,19.0,14.0,87.5,6.0,11,2.0,6.0,1,0,7.0,"['Zach Zarba', 'Bennie Adams', 'Aaron Smith']",1,0.0,44.0,2.0,-1,8.0,-1,4.0,17.0,132.0,25.0,40,363.64,Warriors Kings,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Nets,99,Lakers,102,1,2017,-1.0,-15.5,216.5,20.0,1,17732.0,9.0,8.0,0,33.0,5.0,82.0,45.12,18.0,16.0,69.57,17.0,33,2.0,-2.0,1,0,5.0,"['Mike Callahan', 'Jason Goldenberg', 'Dedric Taylor']",1,0.0,52.0,1.0,1,7.0,1,8.0,9.0,129.0,11.0,19,57.58,Nets Lakers,0,-1,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Lakers,102,Nets,99,0,2017,1.0,-15.5,216.5,21.0,-2,17732.0,9.0,6.0,1,38.0,15.0,92.0,42.39,18.0,14.0,70.0,17.0,31,-2.0,2.0,0,1,18.0,"['Mike Callahan', 'Jason Goldenberg', 'Dedric Taylor']",2,0.0,56.0,1.0,-3,5.0,-2,9.0,10.0,129.0,15.0,19,61.29,Lakers Nets,0,1,-1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Raptors,130,Trailblazers,105,1,2017,-4.5,19.0,216.0,21.0,-2,19800.0,29.0,4.0,0,25.0,16.0,99.0,46.46,23.0,19.0,90.48,5.0,16,19.0,22.0,0,1,17.0,"['Tony Brothers', 'Curtis Blair', 'Marat Kogut']",1,0.0,38.0,0.0,-1,5.0,-1,10.0,19.0,127.0,6.0,34,212.5,Raptors Trailblazers,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Trailblazers,105,Raptors,130,0,2017,4.5,19.0,216.0,20.0,4,19800.0,3.0,3.0,1,32.0,7.0,73.0,50.68,15.0,24.0,72.73,5.0,22,-19.0,-22.0,1,0,4.0,"['Tony Brothers', 'Curtis Blair', 'Marat Kogut']",1,0.0,52.0,1.0,1,4.0,4,12.0,7.0,127.0,10.0,29,131.82,Trailblazers Raptors,1,-1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
